Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
1,Indiana,Big Ten,13,0,285.668,469.667,2,1.000,0.971030547,0.029,0.740,378.571,92.903,583,144,154,155,49.106,1.644
2,Ohio State,Big Ten,11,2,242.488,420.571,3,0.846,0.960238554,-0.114,-0.574,336.691,94.203,468,130,139,138,51.803,1.734
3,Notre Dame,FBS Independents,10,2,212.736,235.424,7,0.833,0.896458568,-0.063,-0.106,367.883,155.147,504,211,137,136,33.053,1.107
4,Texas Tech,Big 12,11,2,210.143,302.374,5,0.846,0.954604685,-0.108,-0.522,298.378,88.235,552,165,185,187,42.977,1.439
5,Oregon,Big Ten,12,1,208.680,477.060,1,0.923,0.910220019,0.013,0.592,345.455,136.774,532,212,154,155,68.281,2.286
6,Utah,Big 12,10,2,205.566,139.346,17,0.833,0.887750477,-0.054,-0.026,365.306,159.740,537,246,147,154,20.247,0.678
7,Miami,ACC,11,2,169.246,303.506,4,0.846,0.903980871,-0.058,-0.057,285.806,116.561,443,183,155,157,53.562,1.793
8,North Texas,American Athletic,11,2,155.272,98.413,27,0.846,0.787956879,0.058,1.008,380.120,224.848,631,371,166,165,18.931,0.634
9,Washington,Big Ten,8,4,150.915,171.634,12,0.667,0.825752507,-0.159,-0.987,325.735,174.820,443,243,136,139,33.969,1.137
10,Ole Miss,SEC,12,1,150.683,132.429,18,0.923,0.829501283,0.094,1.333,321.341,170.659,527,285,164,167,26.250,0.879
11,James Madison,Sun Belt,11,2,147.024,103.094,25,0.846,0.843400515,0.003,0.499,300.000,152.976,519,257,173,168,20.944,0.701
12,Toledo,Mid-American,7,5,146.701,6.673,71,0.583,0.902288095,-0.319,-2.456,249.068,102.367,401,173,161,169,1.359,0.045
13,Vanderbilt,SEC,9,3,143.474,144.409,15,0.750,0.783175523,-0.033,0.169,357.143,213.669,500,297,140,139,30.063,1.007
14,South Florida,American Athletic,8,4,138.696,163.591,13,0.667,0.804710929,-0.138,-0.794,320.732,182.036,526,304,164,167,35.229,1.179
15,Iowa,Big Ten,8,4,133.993,273.718,6,0.667,0.835708444,-0.169,-1.079,280.147,146.154,381,209,136,143,61.014,2.043
16,Georgia,SEC,11,2,128.295,198.619,11,0.846,0.815816046,0.030,0.752,285.987,157.692,449,246,157,156,46.240,1.548
17,USC,Big Ten,9,4,122.059,154.629,14,0.692,0.751005951,-0.059,-0.065,341.912,219.853,465,299,136,136,37.838,1.267
18,BYU,Big 12,11,2,120.456,223.469,8,0.846,0.799082954,0.047,0.906,283.871,163.415,440,268,155,164,55.411,1.855
19,Florida State,ACC,4,7,106.735,104.900,24,0.364,0.748166315,-0.385,-3.058,302.290,195.556,396,264,131,135,29.355,0.983
20,Old Dominion,Sun Belt,9,3,106.683,114.627,21,0.750,0.803603397,-0.054,-0.019,247.619,140.936,416,241,168,171,32.092,1.074
21,Alabama,SEC,10,4,105.446,222.146,9,0.714,0.768257591,-0.054,-0.022,276.875,171.429,443,288,160,168,62.924,2.107
22,Penn State,Big Ten,6,6,105.361,221.772,10,0.500,0.740435107,-0.240,-1.735,307.634,202.273,403,267,131,132,62.869,2.105
23,Arizona,Big 12,8,4,104.987,84.235,30,0.667,0.776093987,-0.109,-0.531,267.974,162.987,410,251,153,154,23.964,0.802
24,Tennessee,SEC,7,5,103.531,87.654,29,0.583,0.710992048,-0.128,-0.699,342.384,238.854,517,375,151,157,25.288,0.847
25,Texas A&M,SEC,10,2,100.198,142.555,16,0.833,0.763556614,0.070,1.115,267.683,167.485,439,273,164,163,42.494,1.423
26,Virginia,ACC,10,3,96.314,37.964,51,0.769,0.764353739,0.005,0.519,256.548,160.234,431,274,168,171,11.773,0.394
27,SMU,ACC,8,4,95.837,68.559,35,0.667,0.760829188,-0.094,-0.391,258.642,162.805,419,267,162,164,21.367,0.715
28,Missouri,SEC,7,5,95.164,111.773,22,0.583,0.757286766,-0.174,-1.124,260.265,165.101,393,246,151,149,35.081,1.175
29,San Diego State,Mountain West,8,4,93.024,47.981,42,0.667,0.803868083,-0.137,-0.786,215.723,122.699,343,200,159,163,15.406,0.516
30,East Carolina,American Athletic,8,4,89.782,51.623,38,0.667,0.746412023,-0.080,-0.259,256.024,166.242,425,261,166,157,17.174,0.575
31,Oklahoma,SEC,9,3,86.176,121.757,19,0.750,0.786820826,-0.037,0.136,211.801,125.625,341,201,161,160,42.200,1.413
32,Texas,SEC,10,3,84.615,117.830,20,0.769,0.733736347,0.035,0.800,253.846,169.231,396,264,156,156,41.593,1.393
33,Pittsburgh,ACC,7,5,81.455,99.184,26,0.583,0.714281414,-0.131,-0.729,265.455,184.000,438,322,165,175,36.369,1.218
34,Memphis,American Athletic,7,5,79.320,33.119,55,0.583,0.695935081,-0.113,-0.560,281.333,202.013,422,301,150,149,12.471,0.418
35,Texas State,Sun Belt,6,6,71.195,10.184,66,0.500,0.65434614,-0.154,-0.944,316.000,244.805,474,377,150,154,4.272,0.143
36,Navy,American Athletic,10,2,70.293,73.093,33,0.833,0.656740993,0.177,2.096,307.519,237.226,409,325,133,137,31.058,1.040
37,Western Michigan,Mid-American,9,4,70.253,41.997,47,0.692,0.723193046,-0.031,0.190,220.253,150.000,348,243,158,162,17.855,0.598
38,UNLV,Mountain West,9,4,67.251,11.373,64,0.692,0.649410576,0.043,0.868,307.742,240.491,477,392,155,163,5.051,0.169
39,UConn,FBS Independents,8,4,67.131,-20.764,104,0.667,0.654296641,0.012,0.587,298.052,230.921,459,351,154,152,-9.239,-0.309
40,Iowa State,Big 12,7,4,65.909,61.008,36,0.636,0.683044811,-0.047,0.045,249.242,183.333,329,242,132,132,27.647,0.926
41,Louisville,ACC,8,4,65.694,94.160,28,0.667,0.691022861,-0.024,0.250,238.650,172.956,389,275,163,159,42.810,1.433
42,Ohio,Mid-American,8,4,61.658,35.560,54,0.667,0.666952784,0.000,0.471,254.225,192.568,361,285,142,148,17.226,0.577
43,Louisiana Tech,Conference USA,7,5,59.634,-5.659,89,0.583,0.684999257,-0.102,-0.460,223.270,163.636,355,270,159,165,-2.835,-0.095
44,Clemson,ACC,6,6,59.518,41.132,48,0.500,0.676514774,-0.177,-1.148,232.895,173.377,354,267,152,154,20.642,0.691
45,Michigan,Big Ten,9,4,59.510,80.448,31,0.692,0.668289682,0.024,0.694,243.537,184.028,358,265,147,144,40.377,1.352
46,Georgia Tech,ACC,8,4,58.859,48.199,41,0.667,0.635921864,0.031,0.756,294.366,235.507,418,325,142,138,24.459,0.819
47,Auburn,SEC,4,7,58.068,76.819,32,0.364,0.668182941,-0.305,-2.324,237.778,179.710,321,248,135,138,39.513,1.323
48,Duke,ACC,8,5,54.356,44.842,45,0.615,0.618107866,-0.003,0.449,310.256,255.901,484,412,156,161,24.640,0.825
49,UTSA,American Athletic,6,6,52.582,56.585,37,0.500,0.623873192,-0.124,-0.664,286.957,234.375,462,375,161,160,32.142,1.076
50,Fresno State,Mountain West,8,4,51.499,6.442,73,0.667,0.667215841,-0.001,0.469,212.025,160.526,335,244,158,152,3.736,0.125
51,Western Kentucky,Conference USA,8,4,50.519,8.133,70,0.667,0.648348527,0.018,0.642,232.727,182.209,384,297,165,163,4.808,0.161
52,Boise State,Mountain West,8,5,48.753,69.748,34,0.615,0.638086355,-0.023,0.265,240.230,191.477,418,337,174,176,42.731,1.431
53,Illinois,Big Ten,8,4,48.307,105.629,23,0.667,0.615809643,0.051,0.941,280.882,232.576,382,307,136,132,65.311,2.187
54,Houston,Big 12,9,3,44.308,25.478,57,0.750,0.623599209,0.126,1.635,242.308,198.000,378,297,156,150,17.175,0.575
55,New Mexico,Mountain West,8,4,42.423,10.771,65,0.667,0.604919828,0.062,1.041,270.769,228.346,352,290,130,127,7.583,0.254
56,TCU,Big 12,8,4,41.941,36.031,53,0.667,0.606372692,0.060,1.028,264.238,222.297,399,329,151,148,25.659,0.859
57,Hawai'i,Mountain West,8,4,40.742,13.148,62,0.667,0.610307101,0.056,0.992,248.026,207.285,377,313,152,151,9.639,0.323
58,Wake Forest,ACC,7,4,38.878,26.525,56,0.636,0.627550197,0.009,0.555,206.410,167.532,322,258,156,154,20.378,0.682
59,Cincinnati,Big 12,6,6,38.363,51.579,40,0.500,0.590580901,-0.091,-0.358,281.429,243.066,394,333,140,137,40.158,1.344
60,Northwestern,Big Ten,6,6,37.766,38.400,50,0.500,0.610107708,-0.110,-0.538,230.303,192.537,304,258,132,134,30.370,1.017
61,Nebraska,Big Ten,6,6,32.460,36.616,52,0.500,0.581701162,-0.082,-0.277,262.676,230.216,373,320,142,139,33.692,1.128
62,Kansas State,Big 12,5,6,31.453,46.657,44,0.455,0.582512479,-0.128,-0.702,252.143,220.690,353,320,140,145,44.306,1.483
63,Tulane,American Athletic,11,3,31.432,42.140,46,0.786,0.587031483,0.199,2.299,239.506,208.075,388,335,162,161,40.044,1.341
64,LSU,SEC,6,6,28.263,47.318,43,0.500,0.595089185,-0.095,-0.400,198.000,169.737,297,258,150,152,50.005,1.674
65,NC State,ACC,7,5,28.225,51.612,39,0.583,0.570763097,0.013,0.589,262.000,233.775,393,353,150,151,54.616,1.829
66,Army,American Athletic,7,5,23.387,20.066,58,0.583,0.561079443,0.022,0.678,250.000,226.613,310,281,124,124,25.627,0.858
67,Jacksonville State,Conference USA,8,5,22.223,-1.937,86,0.615,0.560753079,0.055,0.976,238.788,216.564,394,353,165,163,-2.603,-0.087
68,Washington State,Pac-12,6,6,19.061,38.919,49,0.500,0.562938686,-0.063,-0.104,197.973,178.912,293,263,148,147,60.984,2.042
69,Utah State,Mountain West,5,7,17.470,15.866,61,0.417,0.546659884,-0.130,-0.720,242.169,224.699,402,373,166,166,27.126,0.908
70,Southern Miss,Sun Belt,6,6,13.893,0.641,80,0.500,0.538468143,-0.038,0.120,232.298,218.405,374,356,161,163,1.378,0.046
71,Miami (OH),Mid-American,6,7,11.943,5.949,76,0.462,0.537567018,-0.076,-0.225,204.348,192.405,329,304,161,158,14.878,0.498
72,South Carolina,SEC,3,8,10.482,16.076,60,0.273,0.534100489,-0.261,-1.927,197.101,186.620,272,265,138,142,45.809,1.534
73,Kansas,Big 12,4,7,10.265,17.712,59,0.364,0.525625782,-0.162,-1.014,255.303,245.038,337,321,132,131,51.537,1.725
74,UCF,Big 12,4,7,9.451,9.397,67,0.364,0.528528757,-0.165,-1.041,211.594,202.143,292,283,138,140,29.698,0.994
75,Kennesaw State,Conference USA,9,4,8.802,8.210,69,0.692,0.525344061,0.167,2.007,221.302,212.500,374,357,169,168,27.861,0.933
76,Marshall,Sun Belt,4,7,8.657,5.992,74,0.364,0.52252635,-0.159,-0.986,244.371,235.714,369,363,151,154,20.673,0.692
77,Arizona State,Big 12,7,5,8.006,12.274,63,0.583,0.524812921,0.059,1.011,205.521,197.516,335,318,163,161,45.791,1.533
78,Mississippi State,SEC,4,7,4.303,6.644,72,0.364,0.511268049,-0.148,-0.882,240.789,236.486,366,350,152,148,46.114,1.544
79,Buffalo,Mid-American,4,7,3.797,0.105,82,0.364,0.513155344,-0.150,-0.900,182.278,178.481,288,282,158,158,0.828,0.028
80,Arkansas,SEC,1,10,2.997,5.980,75,0.091,0.50624353,-0.415,-3.341,301.527,298.529,395,406,131,136,59.593,1.995
81,Minnesota,Big Ten,7,5,2.487,3.339,77,0.583,0.506846251,0.076,1.176,228.244,225.758,299,298,131,132,40.111,1.343
82,Liberty,Conference USA,3,8,0.459,0.288,81,0.273,0.501234603,-0.229,-1.625,232.576,232.117,307,318,132,137,18.738,0.627
83,Air Force,Mountain West,3,8,0.101,0.067,83,0.273,0.500205423,-0.227,-1.616,305.983,305.882,358,364,117,119,19.804,0.663
84,Troy,Sun Belt,7,6,-1.238,-0.889,84,0.538,0.496014621,0.042,0.864,193.529,194.767,329,335,170,172,21.443,0.718
85,Florida International,Conference USA,6,6,-4.576,-1.209,85,0.500,0.487334642,0.013,0.590,223.494,228.070,371,390,166,171,7.891,0.264
86,Central Michigan,Mid-American,6,6,-8.904,-3.608,88,0.500,0.472893794,0.027,0.723,200.685,209.589,293,306,146,146,12.101,0.405
87,Baylor,Big 12,4,7,-10.751,-14.040,97,0.364,0.474951257,-0.111,-0.549,262.676,273.427,373,391,142,143,39.007,1.306
88,Temple,American Athletic,4,7,-15.236,-18.763,100,0.364,0.465128854,-0.101,-0.458,265.079,280.315,334,356,126,127,36.784,1.232
89,Arkansas State,Sun Belt,6,6,-16.840,0.764,79,0.500,0.450969975,0.049,0.924,205.660,222.500,327,356,159,160,-1.355,-0.045
90,Florida,SEC,3,8,-17.121,-38.210,107,0.273,0.447902544,-0.175,-1.135,196.212,213.333,259,288,132,135,66.657,2.232
91,Maryland,Big Ten,3,8,-17.735,-19.225,101,0.273,0.44674107,-0.174,-1.125,198.592,216.327,282,318,142,147,32.377,1.084
92,Delaware,Conference USA,6,6,-18.726,-3.476,87,0.500,0.45434702,0.046,0.893,246.405,265.132,377,403,153,152,5.544,0.186
93,California,ACC,6,6,-19.032,-12.370,95,0.500,0.447850445,0.052,0.953,217.881,236.913,329,353,151,149,19.413,0.650
94,Missouri State,Conference USA,6,6,-25.523,-12.808,96,0.500,0.431978965,0.068,1.099,220.530,246.053,333,374,151,152,14.989,0.502
95,Rutgers,Big Ten,4,7,-32.584,-69.952,115,0.364,0.429995919,-0.066,-0.136,273.016,305.600,344,382,126,125,64.121,2.147
96,Louisiana,Sun Belt,5,7,-32.916,-10.632,92,0.417,0.415085223,0.002,0.488,223.841,256.757,338,380,151,148,9.647,0.323
97,Bowling Green,Mid-American,3,8,-34.096,-12.185,93,0.273,0.388185709,-0.115,-0.587,170.833,204.930,246,291,144,142,10.674,0.357
98,Kentucky,SEC,4,7,-37.344,-69.819,114,0.364,0.39257174,-0.029,0.208,195.745,233.088,276,317,141,136,55.843,1.870
