Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
1,Indiana,Big Ten,13,0,285.668,470.024,2,1.000,0.971030547,0.029,0.738,378.571,92.903,583,144,154,155,49.203,1.645
2,Ohio State,Big Ten,11,2,242.488,420.289,3,0.846,0.960238554,-0.114,-0.574,336.691,94.203,468,130,139,138,51.832,1.733
3,Notre Dame,FBS Independents,10,2,212.736,228.038,8,0.833,0.896458568,-0.063,-0.106,367.883,155.147,504,211,137,136,32.056,1.072
4,Texas Tech,Big 12,11,2,211.765,305.190,4,0.846,0.955188272,-0.109,-0.527,300.000,88.235,552,165,184,187,43.098,1.441
5,Oregon,Big Ten,12,1,210.050,479.929,1,0.923,0.910228633,0.013,0.590,347.712,137.662,532,212,153,154,68.327,2.285
6,Utah,Big 12,10,2,204.522,147.859,15,0.833,0.886117236,-0.053,-0.011,365.306,160.784,537,246,147,153,21.620,0.723
7,Miami,ACC,11,2,169.246,302.887,5,0.846,0.903980871,-0.058,-0.058,285.806,116.561,443,183,155,157,53.518,1.790
8,North Texas,American Athletic,11,2,153.901,93.080,28,0.846,0.785406537,0.061,1.030,380.120,226.220,631,371,166,164,18.086,0.605
9,Washington,Big Ten,8,4,150.915,171.582,12,0.667,0.825752507,-0.159,-0.986,325.735,174.820,443,243,136,139,34.000,1.137
10,Ole Miss,SEC,12,1,149.655,132.343,18,0.923,0.827367201,0.096,1.350,321.341,171.687,527,285,164,166,26.445,0.884
11,Toledo,Mid-American,7,5,146.701,6.665,72,0.583,0.902288095,-0.319,-2.453,249.068,102.367,401,173,161,169,1.359,0.045
12,James Madison,Sun Belt,11,2,146.108,100.550,25,0.846,0.841419106,0.005,0.516,300.000,153.892,519,257,173,167,20.580,0.688
13,Vanderbilt,SEC,9,3,143.474,144.513,16,0.750,0.783175523,-0.033,0.168,357.143,213.669,500,297,140,139,30.121,1.007
14,South Florida,American Athletic,8,4,138.696,158.350,13,0.667,0.804710929,-0.138,-0.793,320.732,182.036,526,304,164,167,34.142,1.142
15,Iowa,Big Ten,8,4,133.993,274.205,6,0.667,0.835708444,-0.169,-1.078,280.147,146.154,381,209,136,143,61.197,2.046
16,Georgia,SEC,11,2,130.128,200.998,11,0.846,0.818204277,0.028,0.729,287.821,157.692,449,246,156,156,46.191,1.545
17,USC,Big Ten,9,4,122.059,155.096,14,0.692,0.751005951,-0.059,-0.066,341.912,219.853,465,299,136,136,37.999,1.271
18,BYU,Big 12,11,2,120.456,232.760,7,0.846,0.799082954,0.047,0.904,283.871,163.415,440,268,155,164,57.785,1.932
19,Arizona,Big 12,8,3,116.611,84.733,30,0.727,0.798498745,-0.071,-0.181,275.352,158.741,391,227,142,143,21.730,0.727
20,Florida State,ACC,4,7,106.735,104.772,24,0.364,0.748166315,-0.385,-3.054,302.290,195.556,396,264,131,135,29.355,0.982
21,Old Dominion,Sun Belt,9,3,106.683,115.207,21,0.750,0.803603397,-0.054,-0.019,247.619,140.936,416,241,168,171,32.294,1.080
22,Alabama,SEC,10,4,105.446,222.516,9,0.714,0.768257591,-0.054,-0.022,276.875,171.429,443,288,160,168,63.105,2.110
23,Penn State,Big Ten,6,6,105.361,222.147,10,0.500,0.740435107,-0.240,-1.732,307.634,202.273,403,267,131,132,63.052,2.108
24,Tennessee,SEC,7,5,103.531,87.995,29,0.583,0.710992048,-0.128,-0.698,342.384,238.854,517,375,151,157,25.417,0.850
25,Texas A&M,SEC,10,2,100.198,142.577,17,0.833,0.763556614,0.070,1.113,267.683,167.485,439,273,164,163,42.553,1.423
26,SMU,ACC,7,4,99.498,56.383,37,0.636,0.767908297,-0.132,-0.734,261.589,162.092,395,248,151,153,16.946,0.567
27,Virginia,ACC,10,3,96.314,38.648,50,0.769,0.764353739,0.005,0.517,256.548,160.234,431,274,168,171,12.000,0.401
28,Missouri,SEC,7,5,95.164,111.637,22,0.583,0.757286766,-0.174,-1.123,260.265,165.101,393,246,151,149,35.081,1.173
29,San Diego State,Mountain West,8,4,94.389,48.321,42,0.667,0.806342994,-0.140,-0.808,217.089,122.699,343,200,158,163,15.309,0.512
30,East Carolina,American Athletic,8,4,89.782,52.298,39,0.667,0.746412023,-0.080,-0.259,256.024,166.242,425,261,166,157,17.419,0.582
31,Texas,SEC,10,3,86.253,120.111,20,0.769,0.736865486,0.032,0.769,255.484,169.231,396,264,155,156,41.643,1.393
