Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
1,Indiana,Big Ten,12,0,279.287,459.721,1.000,1.000,0.967618385,0.032,0.762,375.862,96.575,545,141,145,146,50.746,1.646
2,Ohio State,Big Ten,11,1,269.125,390.759,3.000,0.917,0.973844443,-0.057,-0.056,351.938,82.813,454,106,129,128,44.762,1.452
3,Texas Tech,Big 12,11,1,239.321,238.807,6.000,0.917,0.968421916,-0.052,-0.007,320.930,81.609,552,142,172,174,30.762,0.998
4,Oregon,Big Ten,11,1,214.276,415.795,2.000,0.917,0.902482367,0.014,0.595,363.571,149.296,509,212,140,142,59.822,1.940
5,Notre Dame,FBS Independents,10,2,212.736,231.201,7.000,0.833,0.896458568,-0.063,-0.111,367.883,155.147,504,211,137,136,33.504,1.087
6,Utah,Big 12,9,2,204.754,171.940,14.000,0.818,0.888952744,-0.071,-0.180,362.500,157.746,493,224,136,142,25.888,0.840
7,Miami,ACC,10,2,174.000,230.727,8.000,0.833,0.909222437,-0.076,-0.227,288.966,114.966,419,169,145,147,40.879,1.326
8,Vanderbilt,SEC,9,2,161.198,144.781,16.000,0.818,0.809674729,0.009,0.544,366.667,205.469,473,263,129,128,27.689,0.898
9,Ole Miss,SEC,11,1,160.192,111.074,23.000,0.917,0.847009759,0.070,1.102,323.179,162.987,488,251,151,154,21.376,0.693
10,North Texas,American Athletic,11,2,153.901,90.290,30.000,0.846,0.785406537,0.061,1.021,380.120,226.220,631,371,166,164,18.086,0.587
11,Washington,Big Ten,8,4,150.915,192.024,12.000,0.667,0.825752507,-0.159,-0.987,325.735,174.820,443,243,136,139,39.226,1.272
12,Toledo,Mid-American,7,5,146.701,6.465,72.000,0.583,0.902288095,-0.319,-2.447,249.068,102.367,401,173,161,169,1.359,0.044
13,James Madison,Sun Belt,11,2,146.108,94.308,28.000,0.846,0.841419106,0.005,0.509,300.000,153.892,519,257,173,167,19.899,0.645
14,Georgia,SEC,11,1,143.439,205.468,11.000,0.917,0.848319068,0.068,1.090,288.194,144.755,415,207,144,143,44.160,1.432
15,Iowa,Big Ten,7,4,139.721,268.223,4.000,0.636,0.851891707,-0.216,-1.503,277.600,137.879,347,182,125,132,59.182,1.920
16,South Florida,American Athletic,8,4,138.696,154.275,15.000,0.667,0.804710929,-0.138,-0.795,320.732,182.036,526,304,164,167,34.292,1.112
17,Alabama,SEC,10,3,134.158,226.014,10.000,0.769,0.823805424,-0.055,-0.032,291.391,157.233,440,250,151,159,51.937,1.685
18,USC,Big Ten,9,3,133.465,178.166,13.000,0.750,0.768291375,-0.018,0.299,350.400,216.935,438,269,125,124,41.154,1.335
19,BYU,Big 12,11,2,120.456,249.278,5.000,0.846,0.799082954,0.047,0.896,283.871,163.415,440,268,155,164,63.798,2.069
20,Arizona,Big 12,8,3,116.611,84.147,32.000,0.727,0.798498745,-0.071,-0.185,275.352,158.741,391,227,142,143,22.246,0.722
21,Tennessee,SEC,7,4,108.850,111.170,22.000,0.636,0.722714037,-0.086,-0.323,341.958,233.108,489,345,143,148,31.486,1.021
22,Florida State,ACC,4,7,106.735,110.971,24.000,0.364,0.748166315,-0.385,-3.046,302.290,195.556,396,264,131,135,32.052,1.040
23,Old Dominion,Sun Belt,9,3,106.683,106.631,26.000,0.750,0.803603397,-0.054,-0.024,247.619,140.936,416,241,168,171,30.813,1.000
24,Penn State,Big Ten,6,6,105.361,229.656,9.000,0.500,0.740435107,-0.240,-1.730,307.634,202.273,403,267,131,132,67.197,2.180
25,Texas A&M,SEC,10,2,100.198,137.624,18.000,0.833,0.763556614,0.070,1.103,267.683,167.485,439,273,164,163,42.344,1.374
26,SMU,ACC,7,4,99.498,55.423,37.000,0.636,0.767908297,-0.132,-0.735,261.589,162.092,395,248,151,153,17.172,0.557
27,Virginia,ACC,10,3,96.314,35.728,54.000,0.769,0.764353739,0.005,0.510,256.548,160.234,431,274,168,171,11.436,0.371
28,Missouri,SEC,7,5,95.164,121.709,20.000,0.583,0.757286766,-0.174,-1.123,260.265,165.101,393,246,151,149,39.428,1.279
29,San Diego State,Mountain West,8,4,94.389,46.872,45.000,0.667,0.806342994,-0.140,-0.810,217.089,122.699,343,200,158,163,15.309,0.497
30,East Carolina,American Athletic,8,4,89.782,48.766,44.000,0.667,0.746412023,-0.080,-0.262,256.024,166.242,425,261,166,157,16.745,0.543
31,Oklahoma,SEC,9,3,86.176,137.897,17.000,0.750,0.786820826,-0.037,0.130,211.801,125.625,341,201,161,160,49.331,1.600
32,Pittsburgh,ACC,7,5,81.455,96.489,27.000,0.583,0.714281414,-0.131,-0.730,265.455,184.000,438,322,165,175,36.519,1.185
33,Texas,SEC,9,3,80.794,128.467,19.000,0.750,0.729625321,0.020,0.652,246.528,165.734,355,237,144,143,49.020,1.590
34,Memphis,American Athletic,7,5,79.320,29.538,56.000,0.583,0.695935081,-0.113,-0.562,281.333,202.013,422,301,150,149,11.480,0.372
35,Michigan,Big Ten,9,3,77.318,110.844,25.000,0.750,0.718813971,0.031,0.751,247.015,169.697,331,224,134,132,44.196,1.434
36,Western Michigan,Mid-American,9,4,70.253,40.659,50.000,0.692,0.723193046,-0.031,0.184,220.253,150.000,348,243,158,162,17.842,0.579
37,UNLV,Mountain West,9,4,67.251,11.019,66.000,0.692,0.649410576,0.043,0.858,307.742,240.491,477,392,155,163,5.051,0.164
38,UConn,FBS Independents,8,4,67.131,-20.032,103.000,0.667,0.654296641,0.012,0.579,298.052,230.921,459,351,154,152,-9.199,-0.298
39,Iowa State,Big 12,7,4,65.909,65.243,35.000,0.636,0.683044811,-0.047,0.040,249.242,183.333,329,242,132,132,30.517,0.990
