Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
1,Alabama,SEC,11,1,240.305,372.131,2,0.917,0.975,-0.058,-0.215,312.414,72.10884354,453,106,145,147,39.856,1.549
2,LSU,SEC,12,1,210.633,480.569,1,0.923,0.951,-0.028,0.067,303.030,92.39766082,500,158,165,171,58.721,2.282
3,Wisconsin,Big Ten,10,3,209.819,211.176,4,0.769,0.890,-0.121,-0.796,370.060,160.2409639,618,266,167,166,25.904,1.006
4,Boise State,Mountain West,12,1,202.976,147.218,9,0.923,0.899,0.024,0.555,348.485,145.508982,575,243,165,167,18.667,0.725
5,Houston,Conference USA,12,1,198.670,0.696,67,0.923,0.885,0.038,0.679,355.670,157,690,314,194,200,0.090,0.004
6,Stanford,Pac-12,11,2,176.938,145.343,10,0.846,0.849,-0.003,0.305,355.063,178.125,561,285,158,160,21.141,0.821
7,Oregon,Pac-12,11,2,168.843,265.729,3,0.846,0.845,0.001,0.342,343.085,174.2424242,645,345,188,198,40.506,1.574
8,Temple,Mid-American,8,4,160.037,4.066,65,0.667,0.883,-0.217,-1.686,288.406,128.3687943,398,181,138,141,0.654,0.025
9,TCU,Mountain West,10,2,157.695,153.536,8,0.833,0.839,-0.006,0.271,325.767,168.0722892,531,279,163,166,25.059,0.974
10,Oklahoma State,Big 12,12,1,154.610,181.297,6,0.923,0.825,0.098,1.244,334.921,180.3108808,633,348,189,193,30.180,1.173
11,Florida State,ACC,8,4,132.083,70.417,21,0.667,0.869,-0.202,-1.554,248.750,116.6666667,398,196,160,168,13.721,0.533
12,Southern Miss,Conference USA,11,2,123.863,47.538,30,0.846,0.821,0.025,0.563,271.579,147.715736,516,291,190,197,9.878,0.384
13,Michigan,Big Ten,11,2,122.658,101.854,15,0.846,0.817,0.029,0.599,272.327,149.6688742,433,226,159,151,21.372,0.830
14,Oklahoma,Big 12,10,3,119.770,127.033,12,0.769,0.815,-0.046,-0.097,267.708,147.9381443,514,287,192,194,27.298,1.061
15,Arkansas,SEC,10,2,108.901,185.943,5,0.833,0.776,0.057,0.860,277.907,169.005848,478,289,172,171,43.945,1.707
16,Michigan State,Big Ten,10,3,108.878,171.141,7,0.769,0.806,-0.037,-0.012,250.867,141.9889503,434,257,173,181,40.455,1.572
17,South Carolina,SEC,10,2,102.194,60.868,27,0.833,0.787,0.046,0.755,250.641,148.447205,391,239,156,161,15.330,0.596
18,USC,Pac-12,10,2,95.309,78.159,19,0.833,0.729,0.105,1.301,291.837,196.5277778,429,283,147,144,21.106,0.820
19,Texas A&M,Big 12,7,6,91.597,111.152,14,0.538,0.727,-0.189,-1.428,282.222,190.625,508,366,180,192,31.232,1.213
20,Cincinnati,Big East,9,3,85.739,36.993,39,0.750,0.758,-0.008,0.256,234.054,148.3146067,433,264,185,178,11.105,0.431
21,Virginia Tech,ACC,10,3,85.671,44.557,32,0.769,0.767,0.002,0.349,226.012,140.3409091,391,247,173,176,13.386,0.520
22,BYU,FBS Independents,9,3,85.464,43.455,35,0.750,0.741,0.009,0.413,249.045,163.5802469,391,265,157,162,13.086,0.508
23,Arkansas State,Sun Belt,9,3,82.697,16.164,54,0.750,0.751,-0.001,0.321,231.868,149.1712707,422,270,182,181,5.031,0.195
24,West Virginia,Big East,9,3,78.333,73.530,20,0.750,0.701,0.049,0.787,271.667,193.3333333,489,348,180,180,24.159,0.939
25,Georgia,SEC,9,4,78.165,130.891,11,0.692,0.739,-0.046,-0.104,229.744,151.5789474,448,288,195,190,43.099,1.675
