Season,Week,GameId,Team,Conference,Opponent,OpponentConference,Location,StartDate,Completed,Live,TeamPoints,OpponentPoints,Result,OpponentRk,OpponentAdjRk,OpponentAdjRtg
2025,3,401760368,Air Force,Mountain West,Utah State,Mountain West,Away,2025-09-14T01:45:00.000Z,True,False,30,49,L,71,80,-22.916
2025,4,401760372,Air Force,Mountain West,Boise State,Mountain West,Home,2025-09-20T23:00:00.000Z,True,False,37,49,L,50,53,33.161
2025,5,401760378,Air Force,Mountain West,Hawai'i,Mountain West,Home,2025-09-27T20:00:00.000Z,True,False,35,44,L,55,81,-23.761
2025,6,401760381,Air Force,Mountain West,Navy,American Athletic,Away,2025-10-04T16:00:00.000Z,True,False,31,34,L,44,61,24.074
2025,7,401760386,Air Force,Mountain West,UNLV,Mountain West,Away,2025-10-11T19:30:00.000Z,True,False,48,51,L,30,63,19.931
2025,8,401760392,Air Force,Mountain West,Wyoming,Mountain West,Home,2025-10-18T19:30:00.000Z,True,False,24,21,W,100,106,-97.082
2025,10,401760401,Air Force,Mountain West,Army,American Athletic,Home,2025-11-01T16:00:00.000Z,True,False,17,20,L,57,72,-3.907
2025,11,401760406,Air Force,Mountain West,San José State,Mountain West,Away,2025-11-08T23:00:00.000Z,True,False,26,16,W,121,118,-121.411
2025,12,401757174,Air Force,Mountain West,UConn,FBS Independents,Away,2025-11-15T17:00:00.000Z,True,False,16,26,L,42,92,-67.291
2025,13,401760415,Air Force,Mountain West,New Mexico,Mountain West,Home,2025-11-23T00:00:00.000Z,True,False,3,20,L,47,66,12.799
2025,14,401760421,Air Force,Mountain West,Colorado State,Mountain West,Away,2025-11-28T20:00:00.000Z,True,False,42,21,W,118,112,-112.280
2025,1,401762789,Akron,Mid-American,Wyoming,Mountain West,Home,2025-08-28T23:00:00.000Z,True,False,0,10,L,100,106,-97.082
2025,2,401752810,Akron,Mid-American,Nebraska,Big Ten,Away,2025-09-06T23:30:00.000Z,True,False,0,68,L,69,68,9.693
2025,3,401762463,Akron,Mid-American,UAB,American Athletic,Away,2025-09-14T00:30:00.000Z,True,False,28,31,L,127,130,-161.808
2025,5,401762824,Akron,Mid-American,Toledo,Mid-American,Away,2025-09-27T19:30:00.000Z,True,False,3,45,L,14,58,27.520
2025,6,401762829,Akron,Mid-American,Central Michigan,Mid-American,Home,2025-10-04T19:30:00.000Z,True,False,28,22,W,86,100,-84.461
2025,7,401762833,Akron,Mid-American,Miami (OH),Mid-American,Home,2025-10-11T16:00:00.000Z,True,False,7,20,L,75,99,-81.842
2025,8,401762838,Akron,Mid-American,Ball State,Mid-American,Away,2025-10-18T19:30:00.000Z,True,False,28,42,L,124,131,-169.017
2025,9,401762844,Akron,Mid-American,Buffalo,Mid-American,Away,2025-10-25T17:00:00.000Z,True,False,24,16,W,79,121,-127.389
2025,11,401762851,Akron,Mid-American,Massachusetts,Mid-American,Home,2025-11-05T00:00:00.000Z,True,False,44,10,W,136,136,-277.932
2025,12,401762856,Akron,Mid-American,Kent State,Mid-American,Home,2025-11-12T00:30:00.000Z,True,False,35,42,L,122,123,-129.809
2025,13,401762862,Akron,Mid-American,Bowling Green,Mid-American,Away,2025-11-19T00:00:00.000Z,True,False,19,16,W,94,124,-130.667
2025,1,401752665,Alabama,SEC,Florida State,ACC,Away,2025-08-30T19:30:00.000Z,True,False,17,31,L,36,36,68.221
2025,1,401779840,Alabama,SEC,Oklahoma,SEC,Away,2025-12-20T01:00:00.000Z,True,False,34,24,W,29,18,122.194
