Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,South Carolina,SEC,1,0,570.000,140.000,23,1.000,0.878,0.122,0.396,570.000,0.000,57,0,10,10,-140.000,125
2,Florida,SEC,1,0,425.000,202.525,8,1.000,0.949,0.051,0.204,600.000,175.000,66,21,11,12,-67.929,106
3,Indiana,Big Ten,1,0,417.778,455.640,1,1.000,1.000,0.000,0.065,577.778,160.000,52,16,9,10,126.752,22
4,Notre Dame,FBS Independents,2,0,403.095,186.667,13,1.000,0.843,0.157,0.493,465.000,61.905,93,13,20,21,-93.333,116
5,Nebraska,Big Ten,2,0,378.261,160.472,17,1.000,0.836,0.164,0.512,500.000,121.739,105,28,21,23,-117.937,121
6,Miami,ACC,1,0,371.429,119.267,29,1.000,0.813,0.187,0.573,471.429,100.000,66,13,14,13,-183.005,130
7,Georgia,SEC,1,0,349.020,57.124,51,1.000,0.726,0.274,0.812,466.667,117.647,70,20,15,17,-145.229,127
8,Mississippi State,SEC,2,0,336.364,36.731,60,1.000,0.601,0.399,1.151,454.545,118.182,100,26,22,22,-209.850,134
9,Texas A&M,SEC,2,0,312.000,153.236,20,1.000,0.806,0.194,0.593,392.000,80.000,98,20,25,25,-76.618,112
10,New Mexico,Mountain West,1,0,310.000,140.000,22,1.000,0.837,0.163,0.508,380.000,70.000,38,7,10,10,-140.000,124
11,Utah,Big 12,1,0,300.000,127.273,25,1.000,0.810,0.190,0.581,390.909,90.909,43,10,11,11,-127.273,123
11,Penn State,Big Ten,2,0,300.000,161.422,16,1.000,0.932,0.068,0.250,342.857,42.857,72,9,21,21,-55.245,100
13,Alabama,SEC,2,0,291.848,187.333,12,1.000,0.886,0.114,0.374,404.348,112.500,93,27,23,24,-60.394,104
14,Nevada,Mountain West,1,0,291.667,88.105,39,1.000,0.800,0.200,0.610,408.333,116.667,49,14,12,12,-145.229,127
15,Texas,SEC,2,0,278.636,167.758,15,1.000,0.912,0.088,0.306,415.000,136.364,83,30,20,22,0.587,72
16,LSU,SEC,2,0,269.841,188.413,11,1.000,0.891,0.109,0.363,355.556,85.714,96,24,27,28,-24.792,80
17,USC,Big Ten,3,0,246.667,172.569,14,1.000,0.829,0.171,0.529,433.333,186.667,130,56,30,30,-37.431,87
18,Virginia Tech,ACC,1,0,238.462,119.231,30,1.000,0.766,0.234,0.703,400.000,161.538,44,21,11,13,-119.231,122
19,Ohio State,Big Ten,1,1,230.978,158.667,18,0.500,0.835,-0.335,-0.849,343.478,112.500,79,27,23,24,45.585,52
20,Kansas State,Big 12,1,0,219.697,114.394,32,1.000,0.808,0.192,0.589,283.333,63.636,34,7,12,11,-105.303,118
21,Virginia,ACC,1,0,216.667,108.333,33,1.000,0.796,0.204,0.620,283.333,66.667,34,8,12,12,-108.333,120
22,Oklahoma,SEC,1,1,206.439,37.045,59,0.500,0.627,-0.127,-0.281,277.273,70.833,61,17,22,24,-58.409,102
23,Colorado State,Pac-12,1,0,200.000,100.000,36,1.000,0.756,0.244,0.731,318.182,118.182,35,13,11,11,-100.000,117
24,Tennessee,SEC,1,0,190.909,120.000,28,1.000,0.776,0.224,0.675,409.091,218.182,45,24,11,11,-70.909,108
25,Pittsburgh,ACC,3,0,188.235,81.116,45,1.000,0.680,0.320,0.936,288.235,100.000,98,34,34,34,-57.218,101
26,Houston,Big 12,1,0,187.912,211.111,6,1.000,0.903,0.097,0.330,330.769,142.857,43,20,13,14,-105.556,119
27,Iowa,Big Ten,2,0,185.185,84.169,43,1.000,0.716,0.284,0.838,233.333,48.148,56,13,24,27,-42.084,89
28,Michigan State,Big Ten,2,0,182.895,190.304,10,1.000,0.792,0.208,0.632,325.000,142.105,65,27,20,19,-1.615,73
29,Maryland,Big Ten,1,0,165.035,82.517,44,1.000,0.720,0.280,0.828,292.308,127.273,38,14,13,11,-82.517,113
30,Ole Miss,SEC,2,0,160.688,107.985,34,1.000,0.697,0.303,0.889,356.522,195.833,82,47,23,24,-53.993,97
31,North Dakota State,Mountain West,2,0,152.381,122.407,27,1.000,0.769,0.231,0.694,338.095,185.714,71,39,21,21,-23.502,79
32,Auburn,SEC,2,0,150.000,87.413,40,1.000,0.700,0.300,0.883,250.000,100.000,60,24,24,24,-43.706,91
33,Cincinnati,Big 12,1,0,146.970,98.106,37,1.000,0.749,0.251,0.749,283.333,136.364,34,15,12,11,-48.864,94
34,UCLA,Big Ten,2,0,144.769,127.654,24,1.000,0.785,0.215,0.650,280.769,136.000,73,34,26,25,-18.558,78
35,Massachusetts,Mid-American,1,0,133.333,42.045,56,1.000,0.606,0.394,1.138,308.333,175.000,37,21,12,12,-91.288,115
36,Georgia State,Sun Belt,1,0,127.273,63.636,50,1.000,0.671,0.329,0.962,281.818,154.545,31,17,11,11,-63.636,105
37,BYU,Big 12,1,0,110.000,55.000,52,1.000,0.647,0.353,1.028,280.000,170.000,28,17,10,10,-55.000,99
38,Missouri,SEC,1,0,109.890,54.945,53,1.000,0.649,0.351,1.021,271.429,161.538,38,21,14,13,-54.945,98
39,Illinois,Big Ten,1,1,88.235,147.735,21,0.500,0.729,-0.229,-0.560,405.882,317.647,69,54,17,17,51.207,51
40,Tulsa,American Athletic,2,0,86.957,347.113,2,1.000,1.000,0.000,0.065,204.348,117.391,47,27,23,23,261.507,4
41,Wake Forest,ACC,2,0,85.273,-230.733,132,1.000,0.256,0.744,2.093,377.273,292.000,83,73,22,25,-212.382,135
42,James Madison,Sun Belt,1,0,77.778,38.889,58,1.000,0.615,0.385,1.114,222.222,144.444,20,13,9,9,-38.889,88
43,Duke,ACC,2,0,75.325,192.179,9,1.000,0.955,0.045,0.187,218.182,142.857,48,30,22,21,117.073,26
44,South Florida,American Athletic,2,0,73.684,84.356,42,1.000,0.734,0.266,0.791,247.368,173.684,47,33,19,19,17.134,67
45,UTSA,American Athletic,1,0,65.152,-92.343,100,1.000,0.252,0.748,2.104,281.818,216.667,31,26,11,12,-157.494,129
46,Washington,Big Ten,2,0,62.319,3.788,64,1.000,0.513,0.487,1.391,166.667,104.348,40,24,24,23,-59.091,103
47,Boise State,Pac-12,1,1,57.609,155.062,19,0.500,0.922,-0.422,-1.087,282.609,225.000,65,54,23,24,82.894,38
48,Florida State,ACC,1,1,54.113,-140.370,120,0.500,0.247,0.253,0.754,263.636,209.524,58,44,22,21,-202.642,133
49,North Carolina,ACC,1,0,50.000,25.000,61,1.000,0.587,0.413,1.191,150.000,100.000,15,10,10,10,-25.000,81
49,Vanderbilt,SEC,1,0,50.000,25.000,62,1.000,0.568,0.432,1.242,250.000,200.000,35,26,14,13,-25.000,82
51,SMU,ACC,1,0,45.455,-94.915,103,1.000,0.137,0.863,2.418,245.455,200.000,27,24,11,12,-140.370,126
52,Michigan,Big Ten,2,0,42.857,100.682,35,1.000,0.814,0.186,0.572,142.857,100.000,30,22,21,22,58.409,47
53,West Virginia,Big 12,1,0,36.813,18.407,63,1.000,0.553,0.447,1.284,221.429,184.615,31,24,14,13,-18.407,77
54,Fresno State,Pac-12,1,1,33.333,-50.118,81,0.500,0.194,0.306,0.898,233.333,200.000,49,42,21,21,-37.391,86
55,Colorado,Big 12,1,0,21.818,-49.091,80,1.000,0.109,0.891,2.493,140.000,118.182,14,13,10,11,-70.909,108
56,Middle Tennessee,Conference USA,0,1,20.979,-50.932,82,0.000,0.387,-0.387,-0.991,236.364,215.385,26,28,11,13,-71.911,110
57,Memphis,American Athletic,2,1,17.143,-43.120,76,0.667,0.422,0.245,0.731,254.286,237.143,89,83,35,35,-48.213,93
58,Oregon,Big Ten,1,1,14.286,208.908,7,0.500,0.862,-0.362,-0.923,250.000,235.714,65,66,26,28,192.754,5
59,Troy,Sun Belt,1,0,9.615,302.183,3,1.000,0.996,0.004,0.075,184.615,175.000,24,21,13,12,292.567,2
60,App State,Sun Belt,1,0,8.242,-66.546,88,1.000,0.314,0.686,1.934,192.857,184.615,27,24,14,13,-74.788,111
61,Texas Tech,Big 12,1,0,6.250,-140.476,121,1.000,0.171,0.829,2.325,218.750,212.500,35,34,16,16,70.238,43
62,Florida International,Conference USA,1,1,-2.273,-36.755,73,0.500,0.369,0.131,0.422,175.000,177.273,42,39,24,22,-17.134,76
63,North Texas,American Athletic,1,1,-3.463,126.752,26,0.500,0.734,-0.234,-0.573,272.727,276.190,60,58,22,21,174.529,11
64,Baylor,Big 12,0,1,-7.692,79.720,47,0.000,0.896,-0.896,-2.378,123.077,130.769,16,17,13,13,87.413,32
65,Army,American Athletic,0,1,-13.333,71.023,48,0.000,0.647,-0.647,-1.700,266.667,280.000,24,28,9,10,84.356,35
66,Utah State,Pac-12,0,1,-16.667,-12.879,66,0.000,0.456,-0.456,-1.178,116.667,133.333,14,16,12,12,3.788,70
67,Western Michigan,Mid-American,0,1,-20.909,79.773,46,0.000,0.760,-0.760,-2.008,109.091,130.000,12,13,11,10,100.682,30
68,Air Force,Mountain West,0,1,-25.455,96.952,38,0.000,0.690,-0.690,-1.817,320.000,345.455,32,38,10,11,122.407,23
69,Sam Houston,Conference USA,0,2,-30.616,292.567,4,0.000,0.980,-0.980,-2.609,165.217,195.833,38,47,23,24,324.648,1
70,Coastal Carolina,Sun Belt,0,1,-36.813,-18.407,69,0.000,0.447,-0.447,-1.156,184.615,221.429,24,31,13,14,18.407,66
71,Iowa State,Big 12,0,1,-37.121,47.047,54,0.000,0.715,-0.715,-1.886,108.333,145.455,13,16,12,11,84.169,36
72,Tulane,American Athletic,1,1,-37.352,86.410,41,0.500,0.843,-0.343,-0.870,140.909,178.261,31,41,22,23,119.295,24
73,Oklahoma State,Big 12,1,1,-38.519,230.446,5,0.500,0.975,-0.475,-1.232,181.481,220.000,49,55,27,25,278.010,3
74,South Alabama,Sun Belt,0,1,-40.000,46.410,55,0.000,0.580,-0.580,-1.518,240.000,280.000,24,28,10,10,86.410,34
75,Hawai'i,Mountain West,1,2,-40.541,-227.036,131,0.333,0.092,0.241,0.722,167.568,208.108,62,77,37,37,-184.076,132
76,UCF,Big 12,0,1,-41.667,39.449,57,0.000,0.932,-0.932,-2.478,58.333,100.000,7,12,12,12,81.116,40
