Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Michigan,Big Ten,9,0,291.442,223.502,2,1.000,0.964,0.036,0.224,375.652,84.211,432,96,115,114,40.930,28
2,Ohio State,Big Ten,8,1,254.737,197.281,4,0.889,0.943,-0.054,-0.335,359.821,105.085,403,124,112,118,44.263,24
6,Louisville,ACC,8,1,200.885,119.404,14,0.889,0.806,0.083,0.519,337.313,136.429,452,191,134,140,-18.545,83
11,Boise State,Mountain West,8,1,115.132,102.791,16,0.889,0.756,0.133,0.828,292.523,177.391,313,204,107,115,-9.680,73
5,Alabama,SEC,9,0,219.919,249.512,1,1.000,0.987,0.013,0.084,316.667,96.748,361,119,114,123,64.865,18
36,Tulsa,American Athletic,6,2,54.545,27.430,51,0.750,0.569,0.181,1.128,267.769,213.223,324,258,121,121,-39.465,98
18,Colorado,Pac-12,6,2,98.879,154.577,5,0.750,0.916,-0.166,-1.037,228.704,129.825,247,148,108,114,79.115,7
43,Nebraska,Big Ten,7,2,38.905,85.367,22,0.778,0.752,0.026,0.164,227.193,188.288,259,209,114,111,31.937,34
38,Iowa,Big Ten,5,3,53.449,76.742,25,0.625,0.718,-0.093,-0.579,222.449,169.000,218,169,98,100,29.210,37
17,Western Kentucky,Conference USA,6,3,103.497,29.915,49,0.667,0.571,0.095,0.594,316.102,212.605,373,253,118,119,-42.100,101
3,Washington,Pac-12,8,0,242.044,201.316,3,1.000,0.914,0.086,0.539,386.275,144.231,394,150,102,104,22.916,43
15,Florida,SEC,6,2,107.346,71.529,30,0.750,0.764,-0.014,-0.084,216.000,108.654,216,113,100,104,-25.005,89
13,Toledo,Mid-American,6,2,113.468,56.207,37,0.750,0.642,0.108,0.675,345.652,232.184,318,202,92,87,-48.651,106
32,Army,FBS Independents,4,4,60.696,-42.608,86,0.500,0.380,0.120,0.751,255.696,195.000,202,156,79,80,-90.031,127
62,Indiana,Big Ten,5,4,0.988,17.460,55,0.556,0.552,0.003,0.022,186.260,185.271,244,239,131,129,14.167,53
30,Penn State,Big Ten,7,2,66.667,131.107,13,0.778,0.830,-0.052,-0.323,258.333,191.667,310,230,120,120,65.157,17
81,California,Pac-12,4,5,-36.358,36.708,45,0.444,0.579,-0.134,-0.838,281.102,317.460,357,400,127,126,57.170,21
122,UTEP,Conference USA,2,6,-176.700,-205.545,128,0.250,0.046,0.204,1.297,196.471,373.171,167,306,85,82,-58.949,117
58,Stanford,Pac-12,6,3,5.130,96.142,17,0.667,0.814,-0.147,-0.919,170.476,165.347,179,167,105,101,85.054,5
19,West Virginia,Big 12,6,1,92.543,88.977,20,0.857,0.754,0.103,0.644,256.180,163.636,228,144,89,88,-0.712,63
100,SMU,American Athletic,3,5,-77.596,-72.284,102,0.375,0.271,0.104,0.646,155.738,233.333,190,280,122,120,-11.581,78
23,Houston,American Athletic,6,2,90.873,26.694,48,0.750,0.579,0.171,1.087,271.429,180.556,304,195,112,108,-34.643,99
62,Tennessee,SEC,5,3,2.579,79.178,27,0.625,0.709,-0.084,-0.539,201.724,199.145,234,233,116,117,67.090,14
64,Florida State,ACC,5,3,-3.199,90.004,19,0.625,0.726,-0.101,-0.630,235.849,239.048,250,251,106,105,76.541,9
66,Southern Miss,Conference USA,4,4,-7.550,-83.377,106,0.500,0.290,0.210,1.311,219.643,227.193,246,259,112,114,-74.795,125
4,Western Michigan,Mid-American,8,0,221.860,153.168,6,1.000,0.818,0.182,1.133,391.860,170.000,337,153,86,90,-40.047,99
82,Ball State,Mid-American,3,5,-38.788,-89.080,108,0.375,0.253,0.122,0.761,195.192,233.981,203,241,104,103,-50.052,108
10,Clemson,ACC,8,0,134.681,141.418,10,1.000,0.897,0.103,0.645,259.459,124.779,288,141,111,113,44.036,25
35,Minnesota,Big Ten,6,2,57.672,73.731,27,0.750,0.718,0.032,0.201,216.964,159.292,243,180,112,113,17.254,50
