Season,Week,Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
2026,4,1,Nebraska,Big Ten,2,0,378.261,36.453,61,1.000,0.561,0.439,1.358,500.000,121.739,105,28,21,23,-241.956,136
2026,4,2,Notre Dame,FBS Independents,3,0,323.333,382.033,1,1.000,1.000,0.000,-0.014,400.000,76.667,120,23,30,30,142.403,11
2026,4,3,Georgia,SEC,2,0,305.271,100.529,39,1.000,0.660,0.340,1.048,442.308,137.037,115,37,26,27,-120.193,121
2026,4,4,Ohio State,Big Ten,2,1,294.026,166.310,19,0.667,0.871,-0.205,-0.654,372.973,78.947,138,30,37,38,24.254,63
2026,4,5,Penn State,Big Ten,3,0,291.667,169.001,18,1.000,1.000,0.000,-0.014,352.778,61.111,127,22,36,36,-37.665,99
2026,4,6,Utah,Big 12,2,0,284.980,127.419,30,1.000,0.736,0.264,0.812,330.435,45.455,76,10,23,22,-116.520,120
2026,4,7,Indiana,Big Ten,2,0,276.667,185.539,15,1.000,0.849,0.151,0.458,396.667,120.000,119,36,30,30,-25.942,92
2026,4,8,Tennessee,SEC,2,0,264.286,162.822,20,1.000,0.736,0.264,0.811,414.286,150.000,87,33,21,22,-76.724,113
2026,4,9,Florida,SEC,2,0,239.130,186.417,14,1.000,0.817,0.183,0.557,500.000,260.870,110,60,22,23,28.462,57
2026,4,10,South Carolina,SEC,1,1,235.375,196.622,13,0.500,0.869,-0.369,-1.167,413.636,178.261,91,41,22,23,72.647,32
2026,4,11,Alabama,SEC,3,0,233.571,212.868,8,1.000,0.889,0.111,0.333,408.571,175.000,143,63,35,36,8.828,71
2026,4,12,Texas,SEC,3,0,233.333,215.006,7,1.000,0.970,0.030,0.079,342.424,109.091,113,36,33,33,44.817,48
2026,4,13,Mississippi State,SEC,3,0,226.387,203.829,12,1.000,0.916,0.084,0.248,402.857,176.471,141,60,35,34,28.758,56
2026,4,14,Miami,ACC,2,0,220.949,149.671,22,1.000,0.927,0.073,0.215,339.130,118.182,78,26,23,22,-24.192,90
2026,4,15,USC,Big Ten,4,0,213.526,128.705,29,1.000,0.729,0.271,0.833,441.026,227.500,172,91,39,40,-57.962,105
2026,4,16,Texas A&M,SEC,2,1,198.333,59.355,50,0.667,0.654,0.013,0.027,340.000,141.667,119,51,35,36,-69.941,109
2026,4,17,Iowa State,Big 12,1,1,191.333,-40.116,81,0.500,0.427,0.073,0.214,283.333,92.000,68,23,24,25,-142.389,126
2026,4,18,Pittsburgh,ACC,3,0,188.235,270.788,2,1.000,0.963,0.037,0.101,288.235,100.000,98,34,34,34,132.455,13
2026,4,19,Iowa,Big Ten,2,0,185.185,-18.932,70,1.000,0.000,1.000,3.113,233.333,48.148,56,13,24,27,-145.184,127
2026,4,20,Virginia Tech,ACC,2,0,181.364,225.084,5,1.000,0.845,0.155,0.471,395.000,213.636,79,47,20,22,55.853,39
2026,4,21,LSU,SEC,2,1,176.956,92.752,41,0.667,0.746,-0.079,-0.262,324.324,147.368,120,56,37,38,-22.718,89
2026,4,22,Oklahoma,SEC,2,1,166.728,208.951,9,0.667,1.000,-0.333,-1.057,234.375,67.647,75,23,32,34,118.648,17
2026,4,23,North Dakota State,Mountain West,3,0,165.625,-30.489,76,1.000,0.323,0.677,2.104,318.750,153.125,102,49,32,32,-191.398,130
2026,4,24,Kansas State,Big 12,2,0,160.455,44.229,55,1.000,0.575,0.425,1.314,295.455,135.000,65,27,22,20,-109.509,118
2026,4,25,Liberty,Conference USA,2,1,138.508,156.076,21,0.667,0.807,-0.140,-0.453,306.250,167.742,98,52,32,31,54.224,42
2026,4,26,Michigan,Big Ten,3,0,138.068,240.751,3,1.000,0.951,0.049,0.140,256.250,118.182,82,39,32,33,127.721,15
2026,4,27,Ole Miss,SEC,3,0,136.631,183.640,16,1.000,0.870,0.130,0.391,345.455,208.824,114,71,33,34,48.988,46
2026,4,28,Nevada,Mountain West,1,1,135.375,60.327,49,0.500,0.597,-0.097,-0.319,313.636,178.261,69,41,22,23,-33.612,98
2026,4,29,UCLA,Big Ten,3,0,134.353,231.994,4,1.000,0.936,0.064,0.186,328.947,194.595,125,72,38,37,95.630,25
2026,4,30,Massachusetts,Mid-American,1,0,133.333,106.212,35,1.000,0.838,0.162,0.492,308.333,175.000,37,21,12,12,-27.121,94
2026,4,31,BYU,Big 12,2,0,123.160,105.653,36,1.000,0.759,0.241,0.738,313.636,190.476,69,40,22,21,-15.635,81
2026,4,32,Duke,ACC,3,0,121.518,102.409,38,1.000,0.853,0.147,0.444,237.143,115.625,83,37,35,32,-16.194,83
2026,4,33,Northwestern,Big Ten,1,0,119.048,136.145,27,1.000,0.847,0.153,0.466,290.476,171.429,61,36,21,21,66.807,36
2026,4,34,New Mexico,Mountain West,1,1,115.000,144.887,24,0.500,0.856,-0.356,-1.129,220.000,105.000,44,21,20,20,44.887,47
2026,4,35,Wisconsin,Big Ten,1,1,109.774,136.186,26,0.500,0.708,-0.208,-0.665,352.632,242.857,67,51,19,21,110.530,21
2026,4,36,Missouri,SEC,2,0,94.587,-29.544,74,1.000,0.438,0.562,1.742,240.741,146.154,65,38,27,26,-122.950,123
2026,4,37,James Madison,Sun Belt,2,0,90.909,219.092,6,1.000,0.989,0.011,0.022,209.091,118.182,46,26,22,22,130.204,14
2026,4,38,TCU,Big 12,1,1,90.476,-230.692,127,0.500,0.002,0.498,1.542,195.238,104.762,41,22,21,21,-314.783,138
2026,4,39,Auburn,SEC,2,1,88.571,95.718,40,0.667,0.755,-0.089,-0.292,282.857,194.286,99,68,35,35,23.457,64
